GeneID	AIMs	upper
IV00_00049277	---	CHECK
IV00_00049280	---	CHECK
IV00_00049286	---	CHECK
IV00_00049292	---	CHECK
IV00_00049293	---	CHECK
IV00_00049283	---	CHECK
IV00_00049278	---	CHECK
IV00_00049279	---	CHECK
IV00_00049306	---	CHECK
IV00_00049304	---	CHECK
IV00_00049305	---	CHECK
IV00_00049307	---	CHECK
IV00_00049302	---	CHECK
IV00_00036811	CHECK	CHECK
IV00_00036818	CHECK	CHECK
IV00_00037062	---	CHECK
IV00_00037371	---	CHECK
IV00_00037571	---	CHECK
IV00_00037568	---	CHECK
IV00_00037575	---	CHECK
IV00_00037570	---	CHECK
IV00_00037574	---	CHECK
IV00_00037569	---	CHECK
IV00_00037572	---	CHECK
IV00_00037573	---	CHECK
IV00_00037566	---	CHECK
IV00_00037995	---	CHECK
IV00_00037998	---	CHECK
IV00_00037997	---	CHECK
IV00_00037994	---	CHECK
IV00_00037996	---	CHECK
IV00_00027062	---	CHECK
IV00_00027059	---	CHECK
IV00_00027061	---	CHECK
IV00_00027208	---	CHECK
IV00_00027210	---	CHECK
IV00_00028089	---	CHECK
IV00_00028581	---	CHECK
IV00_00028576	---	CHECK
IV00_00028582	---	CHECK
