GeneID	AIMs	upper
IV00_00022121	---	CHECK
IV00_00022131	---	CHECK
IV00_00022112	---	CHECK
IV00_00022114	---	CHECK
IV00_00022109	---	CHECK
IV00_00022127	---	CHECK
IV00_00022143	---	CHECK
IV00_00022142	---	CHECK
IV00_00022157	---	CHECK
IV00_00022166	---	CHECK
IV00_00022164	---	CHECK
IV00_00022160	---	CHECK
IV00_00022186	---	CHECK
IV00_00022188	---	CHECK
IV00_00022187	---	CHECK
IV00_00022182	---	CHECK
IV00_00022179	---	CHECK
IV00_00022183	---	CHECK
IV00_00022202	---	CHECK
IV00_00022197	---	CHECK
IV00_00022201	---	CHECK
IV00_00022199	---	CHECK
IV00_00022203	---	CHECK
IV00_00029830	---	CHECK
IV00_00029831	---	CHECK
IV00_00029842	---	CHECK
IV00_00029838	---	CHECK
IV00_00029843	---	CHECK
IV00_00029844	---	CHECK
IV00_00029840	---	CHECK
IV00_00029901	---	CHECK
IV00_00029911	---	CHECK
IV00_00030880	---	CHECK
IV00_00030879	---	CHECK
IV00_00005898	---	CHECK
IV00_00005894	---	CHECK
IV00_00006186	---	CHECK
IV00_00006434	---	CHECK
IV00_00006441	---	CHECK
IV00_00006439	---	CHECK
