GeneID	AIMs	upper
IV00_00016948	---	CHECK
IV00_00016949	---	CHECK
IV00_00016937	---	CHECK
IV00_00016952	---	CHECK
IV00_00016951	---	CHECK
IV00_00016939	---	CHECK
IV00_00016944	---	CHECK
IV00_00017578	---	CHECK
IV00_00017586	---	CHECK
IV00_00017625	---	CHECK
IV00_00017622	---	CHECK
IV00_00017621	---	CHECK
IV00_00017630	---	CHECK
IV00_00017987	---	CHECK
IV00_00052172	---	CHECK
IV00_00052168	---	CHECK
IV00_00052174	---	CHECK
IV00_00052171	---	CHECK
IV00_00052179	---	CHECK
IV00_00052185	---	CHECK
IV00_00052177	---	CHECK
IV00_00052182	---	CHECK
IV00_00050618	---	CHECK
IV00_00032285	---	CHECK
IV00_00032282	---	CHECK
IV00_00032281	---	CHECK
IV00_00032294	---	CHECK
IV00_00032297	---	CHECK
IV00_00039828	---	CHECK
IV00_00039829	---	CHECK
IV00_00039830	---	CHECK
IV00_00039826	---	CHECK
IV00_00040404	---	CHECK
IV00_00040403	---	CHECK
IV00_00046960	---	CHECK
IV00_00046959	---	CHECK
IV00_00047119	---	CHECK
IV00_00047116	---	CHECK
IV00_00014445	---	CHECK
IV00_00014465	---	CHECK
