GeneID	AIMs	upper
IV00_00015541	---	CHECK
IV00_00015549	---	CHECK
IV00_00015550	---	CHECK
IV00_00015551	---	CHECK
IV00_00015545	---	CHECK
IV00_00015553	CHECK	CHECK
IV00_00016208	---	CHECK
IV00_00016538	---	CHECK
IV00_00016533	---	CHECK
IV00_00016532	---	CHECK
IV00_00016534	---	CHECK
IV00_00016535	---	CHECK
IV00_00016529	---	CHECK
IV00_00016548	---	CHECK
IV00_00016547	---	CHECK
IV00_00016545	---	CHECK
IV00_00016599	---	CHECK
IV00_00016602	---	CHECK
IV00_00016598	---	CHECK
IV00_00016619	---	CHECK
IV00_00016609	---	CHECK
IV00_00016620	---	CHECK
IV00_00016615	---	CHECK
IV00_00016614	---	CHECK
IV00_00016607	---	CHECK
IV00_00016623	---	CHECK
IV00_00016626	---	CHECK
IV00_00016843	---	CHECK
IV00_00016844	---	CHECK
IV00_00016847	---	CHECK
IV00_00016848	---	CHECK
IV00_00016849	---	CHECK
IV00_00016859	---	CHECK
IV00_00016861	---	CHECK
IV00_00016850	---	CHECK
IV00_00016860	---	CHECK
IV00_00016857	---	CHECK
IV00_00016933	---	CHECK
IV00_00016950	---	CHECK
IV00_00016936	---	CHECK
