Orthogroup	Taeniopygia_guttata.bTaeGut1_v1.p.pep.all	house_sparrow_genome_assembly-18-11-14_masked.Protein_gffreads
OG0000000	ENSTGUP00000014419.2, ENSTGUP00000014567.2, ENSTGUP00000014715.2, ENSTGUP00000015024.2, ENSTGUP00000015440.2, ENSTGUP00000015645.2, ENSTGUP00000016130.2, ENSTGUP00000016407.2, ENSTGUP00000016463.2, ENSTGUP00000016534.2, ENSTGUP00000016557.2, ENSTGUP00000016577.2, ENSTGUP00000016628.2, ENSTGUP00000017067.2, ENSTGUP00000017126.2, ENSTGUP00000017161.2, ENSTGUP00000017901.2, ENSTGUP00000017914.2, ENSTGUP00000017949.2, ENSTGUP00000017978.2, ENSTGUP00000017980.2, ENSTGUP00000018001.2, ENSTGUP00000018021.2, ENSTGUP00000018043.2, ENSTGUP00000018062.2, ENSTGUP00000018186.2, ENSTGUP00000018904.1, ENSTGUP00000019023.1, ENSTGUP00000020562.1, ENSTGUP00000021664.1, ENSTGUP00000021882.1, ENSTGUP00000022229.1, ENSTGUP00000023937.1, ENSTGUP00000024443.1, ENSTGUP00000024982.1, ENSTGUP00000025935.1, ENSTGUP00000026985.1, ENSTGUP00000027371.1, ENSTGUP00000028088.1, ENSTGUP00000028841.1, ENSTGUP00000029602.1, ENSTGUP00000029810.1, ENSTGUP00000030140.1, ENSTGUP00000030790.1, ENSTGUP00000031675.1, ENSTGUP00000031801.1, ENSTGUP00000032419.1, ENSTGUP00000032444.1, ENSTGUP00000033008.1, ENSTGUP00000033371.1, ENSTGUP00000034064.1, ENSTGUP00000034174.1, ENSTGUP00000034770.1, ENSTGUP00000035144.1, ENSTGUP00000035723.1, ENSTGUP00000035838.1	
OG0000001	ENSTGUP00000014623.2, ENSTGUP00000014986.2, ENSTGUP00000015013.2, ENSTGUP00000015256.2, ENSTGUP00000015368.2, ENSTGUP00000015964.2, ENSTGUP00000016400.2, ENSTGUP00000017425.2, ENSTGUP00000018601.1, ENSTGUP00000018987.1, ENSTGUP00000019158.1, ENSTGUP00000020164.1, ENSTGUP00000020926.1, ENSTGUP00000021693.1, ENSTGUP00000022461.1, ENSTGUP00000022803.1, ENSTGUP00000022936.1, ENSTGUP00000023967.1, ENSTGUP00000024081.1, ENSTGUP00000024286.1, ENSTGUP00000025254.1, ENSTGUP00000028853.1, ENSTGUP00000029900.1, ENSTGUP00000031804.1, ENSTGUP00000032224.1, ENSTGUP00000032600.1, ENSTGUP00000033032.1, ENSTGUP00000033108.1, ENSTGUP00000033699.1, ENSTGUP00000033866.1, ENSTGUP00000035359.1, ENSTGUP00000035833.1, ENSTGUP00000036092.1, ENSTGUP00000037059.1, ENSTGUP00000037115.1, ENSTGUP00000037312.1, ENSTGUP00000037382.1, ENSTGUP00000038617.1	
OG0000002	ENSTGUP00000003129.1, ENSTGUP00000003130.2, ENSTGUP00000004419.1, ENSTGUP00000018299.2, ENSTGUP00000019641.1, ENSTGUP00000022314.1, ENSTGUP00000031458.1, ENSTGUP00000037588.1	IV00_00051882-RA, IV00_00051884-RA, IV00_00051887-RA, IV00_00051888-RA, IV00_00051890-RA, IV00_00051891-RA, IV00_00051892-RA, IV00_00051895-RA, IV00_00051898-RA, IV00_00051900-RA, IV00_00054844-RA, IV00_00054846-RA, IV00_00054847-RA, IV00_00054849-RA, IV00_00054851-RA, IV00_00054852-RA, IV00_00054855-RA, IV00_00054938-RA, IV00_00054941-RA, IV00_00054943-RA, IV00_00054944-RA, IV00_00054945-RA, IV00_00054946-RA, IV00_00054947-RA, IV00_00054950-RA, IV00_00054951-RA, IV00_00055409-RA, IV00_00055756-RA
OG0000003	ENSTGUP00000008879.2, ENSTGUP00000018465.1, ENSTGUP00000019398.1, ENSTGUP00000020291.1, ENSTGUP00000020490.1, ENSTGUP00000020653.1, ENSTGUP00000021005.1, ENSTGUP00000022854.1, ENSTGUP00000023015.1, ENSTGUP00000023384.1, ENSTGUP00000023408.1, ENSTGUP00000026098.1, ENSTGUP00000026647.1, ENSTGUP00000028860.1, ENSTGUP00000029141.1, ENSTGUP00000030210.1, ENSTGUP00000030371.1, ENSTGUP00000030571.1, ENSTGUP00000031882.1, ENSTGUP00000032461.1, ENSTGUP00000033124.1, ENSTGUP00000033884.1, ENSTGUP00000034343.1, ENSTGUP00000034699.1, ENSTGUP00000035077.1, ENSTGUP00000035430.1, ENSTGUP00000035743.1, ENSTGUP00000036708.1, ENSTGUP00000036771.1, ENSTGUP00000037180.1	
OG0000004		IV00_00000001-RA, IV00_00053535-RA, IV00_00053536-RA, IV00_00053539-RA, IV00_00053541-RA, IV00_00053542-RA, IV00_00053543-RA, IV00_00053544-RA, IV00_00053545-RA, IV00_00055023-RA, IV00_00055025-RA, IV00_00055026-RA, IV00_00055028-RA, IV00_00055029-RA, IV00_00055031-RA, IV00_00055033-RA, IV00_00055034-RA, IV00_00055035-RA, IV00_00055037-RA, IV00_00055038-RA, IV00_00055039-RA, IV00_00055040-RA, IV00_00055231-RA, IV00_00055236-RA, IV00_00055237-RA, IV00_00055238-RA, IV00_00055239-RA, IV00_00055380-RA, IV00_00055497-RA
OG0000005	ENSTGUP00000005926.2, ENSTGUP00000012721.2, ENSTGUP00000012725.2, ENSTGUP00000012727.2, ENSTGUP00000018582.1, ENSTGUP00000019189.1, ENSTGUP00000020331.1, ENSTGUP00000023140.1, ENSTGUP00000024640.1, ENSTGUP00000024891.1, ENSTGUP00000026370.1, ENSTGUP00000028119.1, ENSTGUP00000028264.1, ENSTGUP00000029223.1, ENSTGUP00000029228.1, ENSTGUP00000030687.1, ENSTGUP00000032212.1, ENSTGUP00000035247.1, ENSTGUP00000035684.1, ENSTGUP00000036008.1, ENSTGUP00000036406.1, ENSTGUP00000037042.1, ENSTGUP00000037316.1, ENSTGUP00000037638.1, ENSTGUP00000037890.1, ENSTGUP00000038177.1	IV00_00010979-RA, IV00_00025128-RA
OG0000006	ENSTGUP00000013156.2, ENSTGUP00000016924.2, ENSTGUP00000017928.2, ENSTGUP00000018486.1, ENSTGUP00000018636.1, ENSTGUP00000018840.1, ENSTGUP00000019786.1, ENSTGUP00000021840.1, ENSTGUP00000022058.1, ENSTGUP00000022661.1, ENSTGUP00000022737.1, ENSTGUP00000023264.1, ENSTGUP00000025411.1, ENSTGUP00000027182.1, ENSTGUP00000027194.1, ENSTGUP00000028118.1, ENSTGUP00000028714.1, ENSTGUP00000030300.1, ENSTGUP00000030317.1, ENSTGUP00000031435.1, ENSTGUP00000032526.1, ENSTGUP00000033718.1, ENSTGUP00000034595.1, ENSTGUP00000036797.1, ENSTGUP00000037635.1, ENSTGUP00000037709.1, ENSTGUP00000038155.1, ENSTGUP00000038165.1	
OG0000007	ENSTGUP00000002057.2, ENSTGUP00000003124.2, ENSTGUP00000017497.2, ENSTGUP00000018403.1, ENSTGUP00000019096.1, ENSTGUP00000019801.1, ENSTGUP00000020437.1, ENSTGUP00000021581.1, ENSTGUP00000022354.1, ENSTGUP00000023488.1, ENSTGUP00000023531.1, ENSTGUP00000024141.1, ENSTGUP00000024807.1, ENSTGUP00000025369.1, ENSTGUP00000025899.1, ENSTGUP00000029736.1, ENSTGUP00000029788.1, ENSTGUP00000031400.1, ENSTGUP00000031780.1, ENSTGUP00000033165.1, ENSTGUP00000033356.1, ENSTGUP00000033791.1, ENSTGUP00000034241.1, ENSTGUP00000035298.1, ENSTGUP00000037610.1, ENSTGUP00000037807.1	
OG0000008	ENSTGUP00000003107.2, ENSTGUP00000011457.1, ENSTGUP00000011692.2, ENSTGUP00000019052.1, ENSTGUP00000019165.1, ENSTGUP00000019433.1, ENSTGUP00000020207.1, ENSTGUP00000020327.1, ENSTGUP00000021517.1, ENSTGUP00000022259.1, ENSTGUP00000023619.1, ENSTGUP00000026452.1, ENSTGUP00000029005.1, ENSTGUP00000029458.1, ENSTGUP00000029561.1, ENSTGUP00000030374.1, ENSTGUP00000030835.1, ENSTGUP00000031576.1, ENSTGUP00000036704.1, ENSTGUP00000036856.1, ENSTGUP00000037758.1, ENSTGUP00000038015.1	IV00_00008621-RA, IV00_00029031-RA, IV00_00033765-RA
