GeneID	GeneName	CHR	Start	End	upper	AIMs
IV00_00022202	DNAJC21	chrZ	38446800	38459235	CHECK	---
IV00_00022203	AGXT2	chrZ	38460029	38473338	CHECK	---
IV00_00051924	Unknown	scaffold00224	468826	469914	CHECK	---
IV00_00051931	S100A11	scaffold00224	509700	512204	CHECK	---
IV00_00051932	COPA	scaffold00224	513268	523809	CHECK	---
IV00_00051935	COPA	scaffold00224	541265	544783	CHECK	---
IV00_00051936	NCSTN	scaffold00224	560037	568677	CHECK	---
IV00_00051937	Unknown	scaffold00224	578341	583559	CHECK	---
IV00_00051939	VANGL2-A	scaffold00224	593669	598698	CHECK	---
IV00_00051941	Unknown	scaffold00224	609546	612331	CHECK	---
IV00_00052168	STRADA	scaffold00239	310711	319980	CHECK	---
IV00_00052171	RNF113A	scaffold00239	322079	326281	CHECK	---
IV00_00052172	LIMD2	scaffold00239	339288	339953	CHECK	---
IV00_00052174	MAP3K3	scaffold00239	347078	358002	CHECK	---
IV00_00052177	MAP3K3	scaffold00239	362924	366769	CHECK	---
IV00_00052179	DCAF7	scaffold00239	390980	395623	CHECK	---
IV00_00052182	KCNH2	scaffold00239	402057	402892	CHECK	---
IV00_00052185	KCNH6	scaffold00239	406254	415419	CHECK	---
IV00_00052190	TANC2	scaffold00239	476282	483218	---	CHECK
IV00_00052192	TANC2	scaffold00239	484024	498806	---	CHECK
