ENSTGUT00000034149.1	chr20	88.173	2266	177	39	431	2644	13082029	13084255	0.0	2615
ENSTGUT00000034149.1	chr20	95.098	204	10	0	174	377	13078694	13078897	3.75e-85	322
ENSTGUT00000034149.1	chr20	93.243	74	4	1	366	439	13081016	13081088	1.14e-20	108
ENSTGUT00000036307.1	chr20	88.173	2266	177	39	518	2731	13082029	13084255	0.0	2615
ENSTGUT00000036307.1	chr20	95.146	206	10	0	259	464	13078692	13078897	2.96e-86	326
ENSTGUT00000036307.1	chr20	87.833	263	32	0	1	263	13077759	13078021	2.98e-81	309
ENSTGUT00000036307.1	chr20	93.243	74	4	1	453	526	13081016	13081088	1.17e-20	108
ENSTGUT00000010894.2	chr1	89.120	2693	182	43	2463	5094	81008875	81011517	0.0	3247
ENSTGUT00000010894.2	chr1	94.424	269	15	0	1	269	80850741	80851009	7.32e-113	414
ENSTGUT00000010894.2	chr1	96.316	190	7	0	368	557	80872248	80872437	2.75e-82	313
ENSTGUT00000010894.2	chr1	100.000	142	0	0	1402	1543	80907489	80907630	2.81e-67	263
ENSTGUT00000010894.2	chr1	95.570	158	7	0	689	846	80884117	80884274	1.69e-64	254
ENSTGUT00000010894.2	chr1	95.541	157	7	0	927	1083	80885190	80885346	6.07e-64	252
ENSTGUT00000010894.2	chr1	95.302	149	7	0	1675	1823	80927433	80927581	1.70e-59	237
ENSTGUT00000010894.2	chr1	99.231	130	1	0	1990	2119	80941605	80941734	6.11e-59	235
ENSTGUT00000010894.2	chr1	97.015	134	4	0	1542	1675	80916662	80916795	3.68e-56	226
ENSTGUT00000010894.2	chr1	96.875	128	4	0	1277	1404	80903828	80903955	7.97e-53	215
ENSTGUT00000010894.2	chr1	96.262	107	4	0	1882	1988	80930471	80930577	3.76e-41	176
ENSTGUT00000010894.2	chr1	96.262	107	4	0	2177	2283	80946941	80947047	3.76e-41	176
ENSTGUT00000010894.2	chr1	97.980	99	2	0	2283	2381	80957137	80957235	4.86e-40	172
ENSTGUT00000010894.2	chr1	96.154	104	4	0	267	370	80871547	80871650	1.75e-39	171
ENSTGUT00000010894.2	chr1	96.040	101	4	0	2373	2473	80970321	80970421	8.14e-38	165
ENSTGUT00000010894.2	chr1	96.104	77	3	0	616	692	80876837	80876913	3.84e-26	126
